,articles_link,articles
Artificial Intelligence in Education: A Review,https://ieeexplore.ieee.org/document/9069875/,
A Review on Microgrids’ Challenges & Perspectives,https://ieeexplore.ieee.org/document/9648165/,
Peeking Inside the Black-Box: A Survey on Explainable Artificial Intelligence (XAI),https://ieeexplore.ieee.org/document/8466590/,
"Machine Learning Operations (MLOps): Overview, Definition, and Architecture",https://ieeexplore.ieee.org/document/10081336/,
"Digital Twin: Enabling Technologies, Challenges and Open Research",https://ieeexplore.ieee.org/document/9103025/,
Unsupervised K-Means Clustering Algorithm,https://ieeexplore.ieee.org/document/9072123/,
"A Metaverse: Taxonomy, Components, Applications, and Open Challenges",https://ieeexplore.ieee.org/document/9667507/,
Exploring Students’ Perceptions of ChatGPT: Thematic Analysis and Follow-Up Survey,https://ieeexplore.ieee.org/document/10105236/,
Innovative Framework for Distracted-Driving Alert System Based on Deep Learning,https://ieeexplore.ieee.org/document/9808120/,
"A Survey of Blockchain From the Perspectives of Applications, Challenges, and Opportunities",https://ieeexplore.ieee.org/document/8805074/,
On the History and Future of 100% Renewable Energy Systems Research,https://ieeexplore.ieee.org/document/9837910/,
An Overview on Edge Computing Research,https://ieeexplore.ieee.org/document/9083958/,
Wireless Communications Through Reconfigurable Intelligent Surfaces,https://ieeexplore.ieee.org/document/8796365/,
"Towards Sustainable Energy: A Systematic Review of Renewable Energy Sources, Technologies, and Public Opinions",https://ieeexplore.ieee.org/document/8721134/,
Review of Deep Learning Algorithms and Architectures,https://ieeexplore.ieee.org/document/8694781/,
"Internet of Things (IoT) for Next-Generation Smart Systems: A Review of Current Challenges, Future Trends and Prospects for Emerging 5G-IoT Scenarios",https://ieeexplore.ieee.org/document/8972389/,
Effective Heart Disease Prediction Using Hybrid Machine Learning Techniques,https://ieeexplore.ieee.org/document/8740989/,
A Survey of 5G Network: Architecture and Emerging Technologies,https://ieeexplore.ieee.org/document/7169508/,
U-Net and Its Variants for Medical Image Segmentation: A Review of Theory and Applications,https://ieeexplore.ieee.org/document/9446143/,
A Comprehensive Review on Malware Detection Approaches,https://ieeexplore.ieee.org/document/8949524/,
The Impact of Artificial Intelligence and Blockchain on the Accounting Profession,https://ieeexplore.ieee.org/document/9110603/,
Machine Learning Applications for Precision Agriculture: A Comprehensive Review,https://ieeexplore.ieee.org/document/9311735/,
Plant Disease Detection and Classification by Deep Learning—A Review,https://ieeexplore.ieee.org/document/9399342/,
A Survey of Autonomous Driving: Common Practices and Emerging Technologies,https://ieeexplore.ieee.org/document/9046805/,
Millimeter Wave Mobile Communications for 5G Cellular: It Will Work!,https://ieeexplore.ieee.org/document/6515173/,
"Digital Twin: Values, Challenges and Enablers From a Modeling Perspective",https://ieeexplore.ieee.org/document/8972429/,
Security Hardening of Intelligent Reflecting Surfaces Against Adversarial Machine Learning Attacks,https://ieeexplore.ieee.org/document/9889707/,
Speech Emotion Recognition Using Deep Learning Techniques: A Review,https://ieeexplore.ieee.org/document/8805181/,
Machine Learning and Deep Learning Methods for Cybersecurity,https://ieeexplore.ieee.org/document/8359287/,
Machine Learning for Anomaly Detection: A Systematic Review,https://ieeexplore.ieee.org/document/9439459/,
Deepfake Detection: A Systematic Literature Review,https://ieeexplore.ieee.org/document/9721302/,
"Chat2VIS: Generating Data Visualizations via Natural Language Using ChatGPT, Codex and GPT-3 Large Language Models",https://ieeexplore.ieee.org/document/10121440/,
Blockchains and Smart Contracts for the Internet of Things,https://ieeexplore.ieee.org/document/7467408/,
A Review of Face Recognition Technology,https://ieeexplore.ieee.org/document/9145558/,
Research on Pattern Matching of Dynamic Sustainable Procurement Decision-Making for Agricultural Machinery Equipment Parts,https://ieeexplore.ieee.org/document/10001760/,
"eBPF: A New Approach to Cloud-Native Observability, Networking and Security for Current (5G) and Future Mobile Networks (6G and Beyond)",https://ieeexplore.ieee.org/document/10138542/,
"Current Status and Directions of IEEE 802.11be, the Future Wi-Fi 7",https://ieeexplore.ieee.org/document/9090146/,
Pymoo: Multi-Objective Optimization in Python,https://ieeexplore.ieee.org/document/9078759/,
Image Steganography: A Review of the Recent Advances,https://ieeexplore.ieee.org/document/9335027/,
GhostFaceNets: Lightweight Face Recognition Model From Cheap Operations,https://ieeexplore.ieee.org/document/10098610/,
"A Survey on Digital Twin: Definitions, Characteristics, Applications, and Design Implications",https://ieeexplore.ieee.org/document/8901113/,
Explainable Artificial Intelligence Applications in Cyber Security: State-of-the-Art in Research,https://ieeexplore.ieee.org/document/9875264/,
"Grid Forming Inverter Modeling, Control, and Applications",https://ieeexplore.ieee.org/document/9513281/,
Internet-of-Things (IoT)-Based Smart Agriculture: Toward Making the Fields Talk,https://ieeexplore.ieee.org/document/8784034/,
A Hybrid Model-Based Approach on Prognostics for Railway HVAC,https://ieeexplore.ieee.org/document/9907016/,
"Deep Learning for Anomaly Detection in Time-Series Data: Review, Analysis, and Guidelines",https://ieeexplore.ieee.org/document/9523565/,
Handwritten Optical Character Recognition (OCR): A Comprehensive Systematic Literature Review (SLR),https://ieeexplore.ieee.org/document/9151144/,
A Systematic Literature Review on Cloud Computing Security: Threats and Mitigation Strategies,https://ieeexplore.ieee.org/document/9404177/,
Edge-IIoTset: A New Comprehensive Realistic Cyber Security Dataset of IoT and IIoT Applications for Centralized and Federated Learning,https://ieeexplore.ieee.org/document/9751703/,
A Survey on the Role of IoT in Agriculture for the Implementation of Smart Farming,https://ieeexplore.ieee.org/document/8883163/,
